,input,input_lemma,input_pos,target
4011,вдруг хозяин потребовал внимания и откупоривая засмоленную бутылку громко произнес по-русски за здоровье моей доброй луизы,вдруг хозяин потребовать внимание и откупоривая засмолить бутылка громко произнести по-русски за здоровье мой добрый луиза,ADV NOUN VERB NOUN CCONJ ADJ ADJ NOUN ADV VERB ADV ADP NOUN DET ADJ NOUN,S S S S C S S C S S C S S S S EX
4012,хозяин нежно поцеловал свежее лицо сорокалетней своей подруги и гости шумно выпили здоровье доброй луизы,хозяин нежно поцеловать свежий лицо сорокалетний свой подруга и гость шумно выпить здоровье добрый луиза,NOUN ADV VERB ADJ NOUN NOUN DET NOUN CCONJ NOUN ADV VERB NOUN ADJ NOUN,S S S S S S S C S S S S S S P
4013,за здоровье любезных гостей моих провозгласил хозяин откупоривая вторую бутылку и гости благодарили его осушая вновь свои рюмки,за здоровье любезных гость мой провозгласить хозяин откупоривать второй бутылка и гость благодарить он осушая вновь свой рюмка,ADP NOUN VERB NOUN DET VERB NOUN VERB ADJ NOUN CCONJ NOUN VERB PRON NOUN ADV DET NOUN,S S S S C S C S S C S S S C S S S P
4014,адриан пил с усердием и до того развеселился что сам предложил какой-то шутливый тост,адриан пить с усердие и до тот развеселиться что сам предложить какой-то шутливый тост,NOUN VERB ADP NOUN CCONJ ADP PRON NOUN SCONJ ADJ VERB DET ADJ NOUN,S S S S S S S C S S S S S P
4015,предложение как и все было принято радостно и единодушно,предложение как и весь быть принять радостно и единодушно,NOUN SCONJ PART PRON AUX VERB ADV CCONJ ADV,C S S C S S S S P
4016,гости начали друг другу кланяться портной сапожнику сапожник портному булочник им обоим все булочнику и так далее,гость начать друг друг кланяться портной сапожник сапожник портной булочник они оба весь булочнику и так далее,NOUN VERB PRON PRON VERB NOUN ADJ NOUN ADJ VERB PRON NUM DET VERB CCONJ ADV ADV,S S S S C S C S C S S C S S S S P
4017,юрко посреди сих взаимных поклонов закричал обратись к своему соседу что же пей батюшка за здоровье своих мертвецов,юркий посреди сей взаимный поклон закричать обратись к свой сосед что же пей батюшка за здоровье свой мертвец,ADJ ADP DET ADJ NOUN VERB ADV ADP DET NOUN SCONJ PART ADV NOUN ADP NOUN DET NOUN,C S S S C C S S S C S C C C S S S P
4018,все захохотали но гробовщик почел себя обиженным и нахмурился,весь захохотать но гробовщик почесть себя обидеть и нахмуриться,DET ADJ CCONJ ADJ VERB PRON VERB CCONJ ADJ,S C S S S S S S P
4019,никто того не заметил гости продолжали пить и уже благовестили к вечерне когда встали из-за стола,никто тот не заметить гость продолжать пить и уже благовестить к вечерня когда встать из-за стол,PRON PRON PART VERB NOUN VERB VERB CCONJ ADV VERB ADP NOUN SCONJ VERB ADP NOUN,S S S C S S C S S S S C S S S P
4020,гости разошлись поздно и по большей части навеселе,гость разойтись поздно и по больший часть навеселе,NOUN VERB ADV CCONJ ADP ADJ NOUN ADV,S S C S S S S P
4021,что ж это в самом деле рассуждал он вслух чем ремесло мое нечестнее прочих разве гробовщик брат палачу чему смеются басурмане разве гробовщик гаер святочный,что ж это в сам дело рассуждать он вслух что ремесло мой нечестнее прочий разве гробовщик брат палач что смеяться басурманин разве гробовщик гаер святочный,SCONJ PART PRON ADP ADJ NOUN VERB PRON ADV PRON NOUN DET NOUN ADJ PART ADJ NOUN NOUN PRON VERB NOUN PART ADJ ADJ NOUN,S S C S S C S S C S S S S C S S S C S S C S S S Q
4022,хотелось было мне позвать их на новоселье задать им пир горой ин не бывать же тому,хотелось быть я позвать они на новоселье задать они пир гора ин не бывать же тот,ADV AUX PRON VERB PRON ADP NOUN VERB PRON NOUN NOUN NOUN PART VERB PART DET,S S S S S S C S S S C S S S S EX
4023,а созову я тех на которых работаю мертвецов православных,а созвать я тот на который работать мертвец православный,CCONJ VERB PRON DET ADP PRON VERB NOUN ADJ,S S S C S S C S P
4024,что ты батюшка сказала работница которая в это время разувала его что ты это городишь,что ты батюшка сказать работница который в это время разувать он что ты это городить,SCONJ PRON NOUN VERB NOUN PRON ADP DET NOUN VERB PRON SCONJ PRON PRON NOUN,S C C S C S S S S S C S S S Q
4025,ей-богу созову продолжал адриан и на завтрашний же день,ей-богу созову продолжать адриан и на завтрашний же день,VERB ADV VERB NOUN CCONJ ADP NOUN PART NOUN,C C S C S S S S P
4026,милости просим мои благодетели завтра вечером у меня попировать угощу чем бог послал,милость просить мой благодетель завтра вечер у я попировать угощу что бог послать,NOUN VERB DET VERB ADV NOUN ADP PRON NOUN ADV PRON NOUN VERB,S C S C S S S S C C S S P
4027,на дворе было еще темно как адриана разбудили,на двор быть еще темный как адриан разбудить,ADP NOUN AUX ADV ADJ SCONJ NOUN VERB,S S S S C S S P
4028,купчиха трюхина скончалась в эту самую ночь и нарочный от ее приказчика прискакал к адриану верхом с этим известием,купчиха трюхин скончаться в этот самый ночь и нарочный от ее приказчик прискакать к адриан верхом с это известие,ADJ NOUN VERB ADP DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADP NOUN ADV ADP DET NOUN,S S S S S S C S S S S S S S S S S S P
4029,гробовщик дал ему за то гривенник на водку оделся наскоро взял извозчика и поехал на разгуляй,гробовщик дать он за тот гривенник на водка одеться наскоро взять извозчик и поехать на разгулять,NOUN VERB PRON ADP PRON VERB ADP NOUN VERB ADV VERB NOUN CCONJ VERB ADP NOUN,S S S S S S S C S C S S S S S P
4030,у ворот покойницы уже стояла полиция и расхаживали купцы как вороны почуя мертвое тело,у ворота покойница уже стоять полиция и расхаживать купец как ворона почуять мертвый тело,ADP NOUN VERB ADV VERB NOUN CCONJ ADJ NOUN SCONJ NOUN VERB ADJ NOUN,S S S S S S S S C S C S S P
4031,покойница лежала на столе желтая как воск но еще не обезображенная тлением,покойница лежать на стол желтый как воск но еще не обезобразить тление,NOUN VERB ADP NOUN ADJ SCONJ NOUN CCONJ ADV PART VERB NOUN,S S S C S S C S S S S P
4032,около ее теснились родственники соседи и домашние,около она тесниться родственник сосед и домашний,ADP PRON VERB NOUN NOUN CCONJ ADJ,S S S C S S P
4033,все окна были открыты свечи горели священники читали молитвы,весь окно быть открыть свеча гореть священник читать молитва,DET NOUN AUX VERB NOUN VERB NOUN VERB NOUN,S S S C S C S S P
4034,наследник благодарил его рассеянно сказав что о цене он не торгуется а во всем полагается на его совесть,наследник благодарить он рассеянный сказать что о цена он не торговаться а в весь полагаться на его совесть,NOUN VERB PRON NOUN VERB SCONJ ADP NOUN PRON PART VERB CCONJ ADP PRON VERB ADP DET NOUN,S S S C C S S S S S C S S S S S S P
4035,гробовщик по обыкновению своему побожился что лишнего не возьмет значительным взглядом обменялся с приказчиком и поехал хлопотать,гробовщик по обыкновение свой побожиться что лишний не взять значительный взгляд обменяться с приказчик и поехать хлопотать,NOUN ADP DET DET NOUN SCONJ NOUN PART VERB ADJ NOUN VERB ADP NOUN CCONJ VERB VERB,C S S C C S S S C S S S S S S S P
4036,целый день разъезжал с разгуляя к никитским воротам и обратно к вечеру все сладил и пошел домой пешком отпустив своего извозчика,целый день разъезжать с разгуляй к никитский ворота и обратно к вечер весь сладить и пойти домой пешком отпустить свой извозчик,ADJ NOUN VERB ADP NOUN ADP ADJ NOUN CCONJ ADV ADP NOUN DET VERB CCONJ VERB ADV ADV VERB DET NOUN,S S S S S S S S S C S S S S S S S C S S P
4037,у вознесения окликал его знакомец наш юрко и узнав гробовщика пожелал ему доброй ночи,у вознесение окликать он знакомец наш юркий и узнать гробовщика пожелать он добрый ночь,ADP NOUN NOUN PRON NOUN DET NOUN CCONJ VERB ADV VERB PRON ADJ NOUN,S S S S S S S C S C S S S P
4038,гробовщик подходил уже к своему дому как вдруг показалось ему что кто-то подошел к его воротам отворил калитку и в нее скрылся,гробовщик подходить уже к свой дом как вдруг показаться он что кто-то подойти к его ворота отворить калитка и в она скрыться,NOUN VERB ADV ADP DET NOUN SCONJ ADV VERB PRON SCONJ PRON VERB ADP DET NOUN VERB NOUN CCONJ ADP PRON VERB,S S S S S C S S S C S S S S S C S S S S S P
4039,что бы это значило подумал адриан,что бы это значить подумать адриан,PRON AUX PRON VERB VERB NOUN,S S S C S P
4040,в эту минуту кто-то еще приближился к калитке и собирался войти но увидя бегущего хозяина остановился и снял треугольную шляпу,в этот минута кто-то еще приближиться к калитка и собираться войти но увидя бежать хозяин остановиться и снять треугольный шляпа,ADP DET NOUN PRON ADV VERB ADP NOUN CCONJ VERB VERB CCONJ ADJ VERB NOUN VERB CCONJ VERB ADJ NOUN,S S S S S S S S S S C C S S C S S S S P
4041,адриану лицо его показалось знакомо но второпях не успел он порядочно его разглядеть,адриан лицо он показаться знакомый но второпях не успеть он порядочно он разглядеть,NOUN NOUN PRON VERB ADJ CCONJ ADV PART VERB PRON ADV PRON VERB,S S S S C S S S S S S S P
4042,вы пожаловали ко мне сказал запыхавшись адриан войдите же сделайте милость,вы пожаловать к я сказать запыхавшись адриан войдите же сделать милость,PRON VERB ADP PRON VERB NOUN VERB NOUN PART VERB NOUN,S S S C S S C S C S P
4043,не церемонься батюшка отвечал тот глухо ступай себе вперед указывай гостям дорогу,не церемониться батюшка отвечать тот глухо ступать себя вперед указывать гость дорога,PART ADJ NOUN VERB DET ADV VERB PRON ADV VERB NOUN NOUN,S C C S S C S S C S S EX
4044,калитка была отперта он пошел на лестницу и тот за ним,калитка быть отпереть он пойти на лестница и тот за он,NOUN AUX NOUN PRON VERB ADP NOUN CCONJ DET ADP PRON,S S C S S S C S S S P
4045,адриану показалось что по комнатам его ходят люди,адриан показаться что по комната он ходить человек,NOUN VERB SCONJ ADP NOUN PRON VERB NOUN,S C S S S S S P
4046,что за дьявольщина подумал он и спешил войти тут ноги его подкосились,что за дьявольщина подумать он и спешить войти тут нога его подкосились,SCONJ ADP NOUN VERB PRON PART VERB VERB ADV NOUN DET NOUN,S S C S S S S S S S S P
4047,луна сквозь окна освещала их желтые и синие лица ввалившиеся рты мутные полузакрытые глаза и высунувшиеся носы,луна сквозь окно освещать их желтый и синий лицо ввалиться рот мутный полузакрытый глаз и высунуться нос,NOUN ADP NOUN VERB DET ADJ CCONJ ADJ NOUN VERB NOUN ADJ ADJ NOUN CCONJ VERB NOUN,S S S S S S S S C S C C S S S S P
4048,адриан с ужасом узнал в них людей погребенных его стараниями и в госте с ним вместе вошедшем бригадира похороненного во время проливного дождя,адриан с ужас узнать в они человек погрести его старание и в гост с он вместе войти бригадир похоронить в время проливный дождь,NOUN ADP NOUN VERB ADP PRON NOUN VERB DET NOUN CCONJ ADP NOUN ADP PRON ADV VERB NOUN NOUN ADP NOUN ADJ NOUN,S S S S S S C S S C S S C S S S C C S S S S P
4049,прочие все одеты были благопристойно покойницы в чепцах и лентах мертвецы чиновные в мундирах но с бородами небритыми купцы в праздничных кафтанах,прочий весь одеть быть благопристойно покойница в чепец и лента мертвец чиновный в мундир но с борода небритый купец в праздничный кафтан,ADJ DET VERB AUX VERB NOUN ADP ADJ CCONJ NOUN NOUN VERB ADP NOUN CCONJ ADP ADJ NOUN NOUN ADP ADJ NOUN,S S S S C S S S S C S S S C S S S C S S S P
4050,ты не узнал меня прохоров сказал скелет,ты не узнать я прохоров сказать скелет,PRON PART VERB PRON NOUN VERB NOUN,S S S C C S P
4051,помнишь ли отставного сержанта гвардии петра петровича курилкина того самого которому в 1799 году ты продал первый свой гроб и еще сосновый за дубовый,помнить ли отставной сержант гвардия петр петрович курилкин тот сам который в 1799 год ты продать первый свой гроб и еще сосновый за дубовый,VERB PART ADJ NOUN NOUN NOUN NOUN NOUN DET ADJ PRON ADP ADJ NOUN PRON VERB ADJ DET NOUN CCONJ ADV NOUN ADP ADJ,S S S S S S S C S C C S S C S S S S C S S S S Q
4052,с сим словом мертвец простер ему костяные объятия но адриан собравшись с силами закричал и оттолкнул его,с сей слово мертвец простереть он костяной объятие но адриан собравшись с сила закричать и оттолкнуть он,ADP ADJ NOUN NOUN VERB PRON ADJ NOUN CCONJ NOUN ADV ADP NOUN VERB CCONJ VERB PRON,S S S S S S S C S C S S C S S S P
4053,петр петрович пошатнулся упал и весь рассыпался,петр петрович пошатнуться упасть и весь рассыпаться,NOUN NOUN VERB VERB CCONJ DET VERB,S S C S S S P
4054,солнце давно уже освещало постелю на которой лежал гробовщик,солнце давно уже освещать постелю на который лежать гробовщик,NOUN ADV ADV VERB NOUN ADP PRON VERB ADJ,S S S S C S S S P
4055,наконец открыл он глаза и увидел перед собою свою работницу раздувавшую самовар,наконец открыть он глаз и увидеть перед себя свой работница раздувать самовар,ADV VERB PRON NOUN CCONJ VERB ADP NOUN DET NOUN ADJ NOUN,S S S S S S S S S C S P
4056,трюхина бригадир и сержант курилкин смутно представились его воображению,трюхин бригадир и сержант курилкин смутно представиться его воображение,ADJ NOUN CCONJ NOUN ADV ADV VERB DET NOUN,C S S S S S S S P
4057,он молча ожидал чтоб работница начала с ним разговор и объявила о последствиях ночных приключений,он молча ожидать чтоб работница начать с он разговор и объявить о последствие ночной приключение,PRON ADV VERB SCONJ NOUN VERB ADP PRON NOUN CCONJ VERB ADP NOUN ADJ NOUN,S S C S S S S S S S S S S S P
4058,как ты заспался батюшка адриан прохорович сказала аксинья подавая ему халат,как ты заспаться батюшка адриан прохорович сказать аксинья подавать он халат,SCONJ PRON ADJ NOUN NOUN VERB VERB ADV VERB PRON NOUN,S S C C S C S C S S P
4059,к тебе заходил сосед портной и здешний будочник забегал с объявлением что сегодня частный именинник да ты изволил почивать и мы не хотели тебя разбудить,к ты заходить сосед портной и здешний будочник забегать с объявление что сегодня частный именинник да ты изволить почивать и мы не хотеть ты разбудить,ADP PRON VERB NOUN NOUN CCONJ ADJ ADJ NOUN ADP NOUN SCONJ ADV ADJ NOUN CCONJ PRON VERB VERB CCONJ PRON PART VERB PRON VERB,S S S S S S S S S S C S S S C S S S C S S S S S P
4060,что ты батюшка не с ума ли спятил али хмель вчерашний еще у тя не прошел,что ты батюшка не с ум ли спятить али хмель вчерашний еще у тя не пройти,SCONJ PRON NOUN PART ADP NOUN PART NOUN X NOUN ADJ ADV ADP NOUN PART VERB,S C C S S S S C S S S S S S S Q
4061,ты целый день пировал у немца воротился пьян завалился в постелю да и спал до сего часа как уж к обедне отблаговестили,ты целый день пировать у немец воротиться пьяный завалиться в постелить да и спать до сей час как уж к обедня отблаговестили,PRON ADJ NOUN NOUN ADP NOUN NOUN ADJ VERB ADP NOUN CCONJ CCONJ VERB ADP DET NOUN SCONJ PART ADP ADJ NOUN,S S S S S C S C S S C S S S S S C S S S S P
4062,ой ли сказал обрадованный гробовщик,ой ли сказать обрадовать гробовщик,NOUN PART VERB NOUN NOUN,S C S S P
4063,вестимо так отвечала работница,вестимый так отвечать работница,NOUN ADV VERB NOUN,S C S P
4064,ну коли так давай скорее чаю да позови дочерей,ну коли так давать скорый чаять да позвать дочь,PART PART ADV VERB ADV VERB CCONJ VERB NOUN,C S C S S C S S P
4065,коллежский регистратор почтовой станции диктатор,коллежский регистратор почтовый станция диктатор,ADJ NOUN ADJ NOUN NOUN,S C S S P
4066,князь вяземскийкто не проклинал станционных смотрителей кто с ними не бранивался,князь вяземскийкто не проклинать станционный смотритель кто с они не браниваться,NOUN NOUN PART VERB ADJ NOUN PRON ADP PRON PART VERB,S S S S S C S S S S Q
4067,кто в минуту гнева не требовал от них роковой книги дабы вписать в оную свою бесполезную жалобу на притеснение грубость и неисправность,кто в минута гнев не требовать от они роковой книга дабы вписать в оную свой бесполезный жалоба на притеснение грубость и неисправность,PRON ADP NOUN NOUN PART VERB ADP PRON ADJ NOUN SCONJ VERB ADP NOUN DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN,C S S C S S S S S C S S S S S S S S C S S Q
4068,кто не почитает их извергами человеческого рода равными покойным подьячим или по крайней мере муромским разбойникам,кто не почитать они изверг человеческий род равный покойный подьячий или по крайний мера муромский разбойник,PRON PART VERB PRON NOUN ADJ NOUN ADJ ADJ NOUN CCONJ ADP ADJ NOUN ADJ NOUN,S S S S S S C S S S C S S C S Q
4069,будем однако справедливы постараемся войти в их положение и может быть станем судить о них гораздо снисходительнее,быть однако справедливый постараться войти в их положение и мочь быть стать судить о они гораздо снисходительнее,AUX ADV ADJ VERB VERB ADP DET NOUN CCONJ VERB AUX VERB VERB ADP PRON ADV ADJ,C C C S S S S S C S C S S S S S P
4070,сущий мученик четырнадцатого класса огражденный своим чином токмо от побоев и то не всегда,сущий мученик четырнадцатый класс оградить свой чин токмо от побои и то не всегда,ADJ NOUN ADJ NOUN VERB DET NOUN NOUN ADP NOUN CCONJ SCONJ PART ADV,S S S C S S S S S C S S S P
4071,какова должность сего диктатора как называет его шутливо князь вяземский,каков должность сей диктатор как называть он шутливо князь вяземский,ADJ NOUN DET NOUN SCONJ VERB PRON ADV NOUN ADJ,S S S C S S S S S Q
4072,покою ни днем ни ночью,покой ни день ни ночь,NOUN PART NOUN PART NOUN,S S C S P
4073,всю досаду накопленную во время скучной езды путешественник вымещает на смотрителе,весь досада накопить в время скучный езда путешественник вымещать на смотритель,DET NOUN VERB ADP NOUN ADJ NOUN NOUN VERB ADP NOUN,S C S S S S C S S S P
4074,погода несносная дорога скверная ямщик упрямый лошади не везут а виноват смотритель,погода несносный дорога скверный ямщик упрямый лошадь не везти а виноватый смотритель,NOUN ADJ NOUN ADJ VERB ADJ NOUN PART VERB CCONJ ADJ NOUN,S C S C S C S S C S S P
4075,боже какие ругательства какие угрозы посыплются на его голову,бог какой ругательство какой угроза посыпаться на его голова,NOUN DET NOUN DET NOUN VERB ADP DET NOUN,C S C S S S S S EX
4076,приезжает генерал дрожащий смотритель отдает ему две последние тройки в том числе курьерскую,приезжать генерал дрожать смотритель отдавать он два последний тройка в тот число курьерский,VERB NOUN ADJ NOUN VERB PRON NUM ADJ NOUN ADP DET NOUN ADJ,S C S S S S S S C S S S P
4077,генерал едет не сказав ему спасибо,генерал ехать не сказать он спасибо,NOUN VERB PART VERB PRON NOUN,S C S S S P
4078,чрез пять минут колокольчик и фельдъегерь бросает ему на стол свою подорожную,чрез пять минута колокольчик и фельдъегерь бросать он на стол свой подорожная,VERB NUM NOUN NOUN CCONJ NOUN VERB PRON ADP NOUN DET NOUN,S S C C S S S S S S S EX
4079,вникнем во все это хорошенько и вместо негодования сердце наше исполнится искренним состраданием,вникнуть в весь это хорошенько и вместо негодование сердце наш исполниться искренний состраданием,NOUN ADP DET PRON VERB CCONJ ADP NOUN NOUN DET VERB ADJ ADJ,S S S S C S S S S S S S P
4080,сии столь оклеветанные смотрители вообще суть люди мирные от природы услужливые склонные к общежитию скромные в притязаниях на почести и не слишком сребролюбивые,сей столь оклеветать смотритель вообще суть человек мирный от природа услужливые склонный к общежитие скромный в притязание на почесть и не слишком сребролюбивый,NOUN ADV ADJ NOUN ADV NOUN NOUN ADJ ADP NOUN NOUN ADJ ADP NOUN ADJ ADP NOUN ADP NOUN CCONJ PART ADV ADJ,S S S S S S S C S S C S S C S S S S S S S S P
4081,что касается до меня то признаюсь я предпочитаю их беседу речам какого-нибудь чиновника 6-го класса следующего по казенной надобности,что касаться до я то признаться я предпочитать их беседа речь какой-нибудь чиновник 6-й класс следующий по казенный надобность,PRON VERB ADP PRON SCONJ VERB PRON VERB DET NOUN NOUN DET NOUN ADJ NOUN ADJ ADP ADJ NOUN,S S S C C C S S S S S S S S C S S S P
4082,легко можно догадаться что есть у меня приятели из почтенного сословия смотрителей,легко можно догадаться что быть у я приятель из почтенный сословие смотритель,ADV ADV VERB PRON VERB ADP PRON NOUN ADP ADJ NOUN NOUN,S S C S S S S S S S S P
4083,в самом деле память одного из них мне драгоценна,в сам дело память один из они я драгоценна,ADP ADJ NOUN NOUN NUM ADP PRON PRON VERB,S S C S S S S S P
4084,обстоятельства некогда сблизили нас и об нем-то намерен я теперь побеседовать с любезными читателями,обстоятельство некогда сблизить мы и о нем-то намеренный я теперь побеседовать с любезный читатель,NOUN ADV VERB PRON CCONJ ADP NOUN ADJ PRON ADV VERB ADP ADJ NOUN,S S S C S S S S S S S S S P
4085,в 1816 году в мае месяце случилось мне проезжать через скую губернию по тракту ныне уничтоженному,в 1816 год в май месяц случиться я проезжать через сковать губерния по тракт ныне уничтожить,ADP ADJ NOUN ADP NOUN NOUN VERB PRON VERB ADP ADJ NOUN ADP NOUN ADV ADJ,S S C S S C S S S S S C S C S P
4086,находился я в мелком чине ехал на перекладных и платил прогоны за две лошади,находиться я в мелкий чин ехать на перекладной и платить прогон за два лошадь,VERB PRON ADP ADJ NOUN VERB ADP NOUN CCONJ VERB NOUN ADP NUM NOUN,S S S S C S S S S S S S S P
4087,вследствие сего смотрители со мною не церемонились и часто бирал я с бою то что во мнении моем следовало мне по праву,вследствие сие смотритель с я не церемониться и часто бирать я с бой тот что в мнение мой следовать я по право,ADP NOUN NOUN ADP PRON PART VERB CCONJ ADV VERB PRON ADP NOUN PRON SCONJ ADP ADJ DET VERB PRON ADP NOUN,S S S S S S C S S S S S S C C S S C S S S P
4088,будучи молод и вспыльчив я негодовал на низость и малодушие смотрителя когда сей последний отдавал приготовленную мне тройку под коляску чиновного барина,быть молодой и вспыльчивый я негодовать на низость и малодушие смотритель когда сей последний отдавать приготовить я тройка под коляска чиновный барин,AUX ADJ CCONJ NOUN PRON VERB ADP NOUN CCONJ NOUN NOUN SCONJ PART ADJ VERB VERB PRON NOUN ADP NOUN NOUN NOUN,S S S C S S S S S S C S S S S S S S S S S P
4089,столь же долго не мог я привыкнуть и к тому чтоб разборчивый холоп обносил меня блюдом на губернаторском обеде,столь же долго не мочь я привыкнуть и к тот чтоб разборчивый холоп обносить я блюдо на губернаторский обед,ADV PART ADV PART VERB PRON VERB CCONJ ADP PRON ADV VERB ADJ NOUN PRON NOUN ADP ADJ NOUN,S S S S S S S S S C S S S S S S S S P
4090,в самом деле что было бы с нами если бы вместо общеудобного правила чин чина почитай ввелось в употребление другое например ум ума почитай,в сам дело что быть бы с мы если бы вместо общеудобный правило чин чин почитать ввелось в употребление другой например ум ум почитать,ADP ADJ NOUN PRON AUX AUX ADP PRON SCONJ AUX ADP ADJ NOUN NOUN ADJ NOUN NOUN ADP NOUN ADJ ADV NOUN NOUN NOUN,S S C S S S S C S S S S C S S C S S S C C S S Q
4091,какие возникли бы споры и слуги с кого бы начинали кушанье подавать,какой возникнуть бы спор и слуга с кто бы начинать кушанье подавать,DET VERB AUX NOUN CCONJ NOUN ADP PRON AUX VERB NOUN VERB,S S S C S S S S S S S Q
4092,в трех верстах от станции стало накрапывать и через минуту проливной дождь вымочил меня до последней нитки,в три верста от станция стать накрапывать и через минута проливной дождь вымочить я до последний нитка,ADP NUM NOUN ADP NOUN VERB NOUN CCONJ ADP NOUN VERB NOUN VERB PRON ADP ADJ NOUN,S S S S S S C S S S S S S S S S P
4093,по приезде на станцию первая забота была поскорее переодеться вторая спросить себе чаю,по приезд на станция первый забота быть скорый переодеться второй спросить себя чаять,ADP NOUN ADP NOUN ADJ NOUN AUX ADV VERB ADJ VERB PRON VERB,S S S S S S S S C S S S P
4094,эй дуня закричал смотритель поставь самовар да сходи за сливками,эй дуня закричать смотритель поставить самовар да сходить за сливка,X X VERB NOUN VERB NOUN CCONJ VERB ADP NOUN,C C S C S S S S S P
4095,это твоя дочка спросил я смотрителя,это твой дочка спросить я смотритель,PART DET NOUN VERB PRON NOUN,S S C S S P
4096,дочка-с отвечал он с видом довольного самолюбия да такая разумная такая проворная вся в покойницу мать,дочка-с отвечать он с вид довольный самолюбие да такой разумный такой проворный весь в покойница мать,NOUN VERB PRON ADP NOUN ADJ NOUN PART DET ADJ DET NOUN DET ADP NOUN NOUN,C S S S S S C S S C S C S S S P
4097,тут он принялся переписывать мою подорожную а я занялся рассмотрением картинок украшавших его смиренную но опрятную обитель,тут он приняться переписывать мой подорожная а я заняться рассмотрение картинка украшать он смиренный но опрятный обитель,ADV PRON VERB VERB DET NOUN CCONJ PRON VERB NOUN NOUN VERB PRON NOUN CCONJ ADJ NOUN,S S S S S C S S S S C S S C S S P
4098,в первой почтенный старик в колпаке и шлафорке отпускает беспокойного юношу который поспешно принимает его благословение и мешок с деньгами,в первый почтенный старик в колпак и шлафорк отпускать беспокойный юноша который поспешно принимать его благословение и мешок с деньга,ADP ADJ ADJ NOUN ADP NOUN CCONJ NOUN VERB ADJ NOUN PRON ADV VERB DET NOUN CCONJ NOUN ADP NOUN,S S S S S S S S S S C S S S S S S S S P
4099,в другой яркими чертами изображено развратное поведение молодого человека он сидит за столом окруженный ложными друзьями и бесстыдными женщинами,в другой яркий черта изобразить развратный поведение молодой человек он сидеть за стол окружить ложный друг и бесстыдный женщина,ADP ADJ ADJ NOUN VERB ADJ NOUN ADJ NOUN PRON VERB ADP NOUN VERB ADJ NOUN CCONJ ADJ NOUN,S S S S S S S S C S S S C S S S S S P
4100,далее промотавшийся юноша в рубище и в треугольной шляпе пасет свиней и разделяет с ними трапезу в его лице изображены глубокая печаль и раскаяние,далее промотаться юноша в рубище и в треугольный шляпа пасет свинья и разделять с они трапеза в его лицо изобразить глубокий печаль и раскаяние,ADV ADJ NOUN ADP NOUN CCONJ ADP ADJ NOUN ADJ NOUN CCONJ VERB ADP PRON NOUN ADP DET NOUN VERB ADJ NOUN CCONJ NOUN,C S C S S S S S C S S S S S S C S S S S S S S P
4101,вижу как теперь самого хозяина человека лет пятидесяти свежего и бодрого и его длинный зеленый сертук с тремя медалями на полинялых лентах,видеть как теперь сам хозяин человек год пятьдесят свежий и бодрый и его длинный зеленый сертук с три медаль на полинялый лента,VERB SCONJ ADV ADJ NOUN NOUN NOUN NUM ADJ CCONJ ADJ CCONJ DET ADJ ADJ NOUN ADP NUM NOUN ADP ADJ NOUN,C S C S C S S C S S C S S S S S S S S S S P
4102,не успел я расплатиться со старым моим ямщиком как дуня возвратилась с самоваром,не успеть я расплатиться с старый мой ямщик как дуня возвратиться с самовар,PART VERB PRON VERB ADP ADJ DET NOUN SCONJ NOUN VERB ADP NOUN,S S S S S S S C S S S S P
4103,дуне подал я чашку чаю и мы втроем начали беседовать как будто век были знакомы,дун подать я чашка чаять и мы втроем начать беседовать как будто век быть знакомый,NOUN VERB PRON NOUN VERB CCONJ PRON ADV VERB VERB SCONJ PART NOUN AUX ADJ,S S S S C S S S S C S S S S P
4104,лошади были давно готовы а мне все не хотелось расстаться с смотрителем и его дочкой,лошадь быть давно готовый а я весь не хотеться расстаться с смотритель и он дочка,NOUN AUX ADV ADJ CCONJ PRON PRON PART VERB VERB ADP NOUN CCONJ PRON NOUN,S S S C S S S S S S S S S S P
4105,наконец я с ними простился отец пожелал мне доброго пути а дочь проводила до телеги,наконец я с они проститься отец пожелать я добрый путь а дочь проводить до телега,ADV PRON ADP PRON VERB NOUN VERB PRON ADJ NOUN CCONJ NOUN VERB ADP NOUN,S S S S C S S S S C S S S S P
4106,много могу я насчитать поцелуев но ни один не оставил во мне столь долгого столь приятного воспоминания,много мочь я насчитать поцелуй но ни один не оставить в я столь долгий столь приятный воспоминание,NUM VERB PRON VERB NOUN CCONJ PART NUM PART VERB ADP PRON ADV ADJ ADV ADJ NOUN,S S S S C S S S S S S S S C S S P
4107,прошло несколько лет и обстоятельства привели меня на тот самый тракт в те самые места,пройти несколько год и обстоятельство привести я на тот самый тракт в тот самый место,VERB NUM NOUN CCONJ NOUN VERB PRON ADP DET ADJ NOUN ADP DET ADJ NOUN,S S C S S S S S S S C S S S P
4108,я вспомнил дочь старого смотрителя и обрадовался при мысли что увижу ее снова,я вспомнить дочь старый смотритель и обрадоваться при мысль что увидеть она снова,PRON VERB NOUN ADJ NOUN CCONJ VERB ADP NOUN SCONJ VERB PRON ADV,S S S S S S S S C S S S P
